0,66,50,23,167.95,true,2023-09-27 04:12:29
0,505,79,68,30.12,true,2023-10-20 15:42:23
0,1115,87,97,141.99,true,2023-10-01 17:33:07
0,187,46,6,60.07,true,2023-09-19 23:05:44
0,994,19,64,106.40,true,2023-09-17 12:28:15
0,340,55,29,42.11,true,2023-07-18 12:12:49
0,297,34,18,80.33,true,2023-11-04 10:32:57
0,124,12,27,96.54,true,2023-09-24 12:25:49
0,1032,66,29,112.47,true,2023-07-31 04:53:16
0,43,68,24,28.90,true,2023-09-23 01:48:28
1,183,87,29,79.20,true,2023-10-30 14:48:21
1,1140,3,36,193.75,true,2023-12-01 03:41:39
1,406,39,73,112.42,true,2023-11-23 17:23:35
1,1327,79,10,21.40,true,2023-11-22 02:02:54
1,531,19,74,53.44,true,2023-09-16 05:17:47
1,490,37,88,71.03,true,2023-09-21 13:08:39
1,563,13,32,53.19,true,2023-11-24 16:21:08
1,643,61,50,177.61,true,2023-09-09 09:16:11
1,81,66,42,164.68,true,2023-07-22 00:10:31
1,1042,43,18,109.78,true,2023-10-11 12:43:43
1,548,50,82,76.98,true,2023-08-17 00:34:33
1,341,79,42,6.45,true,2023-11-08 08:50:35
1,699,87,74,50.71,true,2023-09-02 18:47:46
1,1176,49,91,152.56,true,2023-10-12 07:31:09
1,349,68,54,199.07,true,2023-08-01 12:30:04
1,45,87,70,25.62,true,2023-09-07 11:35:27
1,712,96,78,73.88,true,2023-08-29 11:44:13
1,823,23,65,82.06,true,2023-10-04 03:13:54
2,815,39,91,12.54,true,2023-10-18 10:28:47
2,493,23,27,115.87,false,
2,1054,19,13,102.58,true,2023-10-26 21:28:11
2,221,38,77,198.17,false,
3,634,72,95,107.92,false,
3,318,19,30,176.96,false,
3,246,1,32,69.50,false,
3,36,43,52,92.41,false,
3,178,12,43,82.40,true,2023-08-12 09:49:36
3,79,46,77,174.61,true,2023-10-07 16:31:39
4,2,86,75,112.66,true,2023-08-29 00:03:26
4,107,74,63,132.85,true,2023-01-16 17:34:55
4,81,26,19,116.76,true,2023-01-11 19:23:23
4,1332,74,61,101.64,true,2023-06-11 20:36:19
4,1277,26,28,112.92,true,2023-03-20 00:09:44
4,170,46,1,60.01,true,2023-06-11 15:31:01
4,117,67,74,13.24,true,2023-01-11 07:20:55
4,430,32,27,59.16,true,2023-09-21 18:00:21
4,662,86,77,91.71,true,2023-09-13 19:29:49
4,634,22,99,131.39,true,2023-11-17 09:12:08
