0,38,197.96,8
0,22,179.53,9
0,19,21.12,14
0,90,162.02,9
0,79,41.81,4
0,15,59.89,3
1,22,38.24,5
1,50,95.72,19
1,12,4.97,12
1,3,104.34,8
1,32,197.91,16
1,92,139.71,2
2,42,188.85,0
2,7,88.04,0
2,92,63.64,0
2,72,174.51,0
2,86,23.77,0
3,81,130.09,0
3,67,78.04,0
4,81,7.73,0
4,92,130.50,0
4,42,25.44,0
4,98,200.27,0
4,74,192.63,0
4,87,44.04,0
4,7,48.70,0
5,49,142.34,18
5,45,58.23,12
6,31,69.34,20
6,42,17.80,20
7,19,130.48,11
7,67,24.12,4
7,68,74.28,14
7,90,151.86,6
7,22,127.24,19
7,21,50.34,13
7,27,139.69,7
7,63,122.79,19
8,31,169.97,15
8,26,7.82,10
8,7,160.61,12
9,37,119.04,0
9,4,112.91,0
9,23,57.79,0
10,26,183.82,0
10,86,59.89,0
10,39,1.82,0
10,49,55.65,0
10,87,138.88,0
10,53,179.91,0
10,38,163.94,0
10,96,90.67,0
11,42,21.04,0
11,90,127.31,0
11,13,51.65,0
11,46,32.38,0
11,74,29.74,0
11,82,180.84,0
12,39,142.95,1
12,74,84.05,8
12,14,166.75,2
12,53,80.99,12
12,55,119.73,19
12,64,73.09,3
12,49,91.95,6
12,90,192.02,3
12,98,131.48,16
13,86,48.73,0
13,34,109.58,0
13,28,101.95,0
13,49,197.93,0
13,11,110.70,0
13,82,65.95,0
13,21,48.16,0
13,15,166.46,0
13,68,124.87,0
14,19,196.58,8
14,31,192.06,14
14,32,90.76,7
14,35,4.81,4
14,22,18.44,13
15,32,20.49,18
15,27,147.44,5
15,38,172.95,0
16,74,180.95,4
16,90,24.05,15
16,3,58.64,7
16,81,118.94,10
16,96,90.55,17
16,99,88.41,18
16,87,58.08,8
16,31,193.84,4
16,1,52.97,10
16,29,172.58,4
17,29,31.95,0
17,53,181.86,0
17,96,147.64,0
18,96,39.49,13
18,39,10.58,18
19,14,97.13,5
19,22,142.45,12
19,67,164.16,16
19,92,192.36,11
20,81,134.97,0
20,96,109.33,0
20,90,86.83,0
20,63,4.52,0
20,4,73.75,0
20,46,176.53,0
21,61,33.14,0
21,85,62.96,0
21,92,101.16,0
21,27,144.67,0
22,37,189.24,8
22,31,53.28,16
22,72,199.30,1
22,82,157.38,9
22,66,125.68,9
22,61,101.53,11
22,13,0.94,4
23,43,24.85,0
23,96,23.27,0
23,28,185.55,0
23,66,125.04,0
23,68,104.01,0
23,82,95.11,0
24,55,178.36,0
24,21,85.59,0
24,39,126.01,0
24,27,93.15,0
24,49,83.77,0
24,29,192.79,0
24,63,56.77,0
25,86,48.43,0
25,27,2.28,0
26,96,105.55,10
26,55,187.17,15
26,86,35.09,20
26,79,148.32,6
26,85,89.41,9
26,11,105.68,2
26,53,164.52,7
27,55,41.17,0
27,26,47.12,0
27,23,72.32,0
27,4,143.12,0
27,90,104.36,0
