73,23,I like it I would recommend ,3,I like it I would recommend .... Because of confinement he took a long time to arrive,234,1972-12-04 00:26:35
27,98,I really love in 5 days I've seen the progrès,4,I really love in 5 days I've seen the progrès.Je advise you,479,1970-05-07 22:57:17
96,76,I received my order well packaged it try to stay,4,I received my order well packaged it try to stay,934,1991-03-29 08:21:33
11,27,I already adheres to my 2 boxes and the results are there,4,I already adheres to my 2 boxes and the results are there,282,1987-07-30 23:01:54
38,19,"Saleswoman very serious and nice good product
Nothing to say",4,"Saleswoman very serious and nice good product
Nothing to say",378,2020-10-13 19:01:39
33,28,Hello,5,Hello. A very good product for smoothening the face and apply a small amount during the nighttime if you have oily skin preferably having a silk satin pillow case. Everything arrived on time having extra free gifts such as Glycolic acid body wash and/or Kojic soap upon your request after messaging FrDulcinea. The best for smooth bottom of feet without having to use lotion all day use. She is very considerate and email her enough information on how you want your package and free gifts before sending via international mail.,354,1974-11-18 23:46:35
12,5,Hello,5,"Hello. I was able to use the Gamme Metisse and achieve a very softened skin texture because of retinol and fruit acids, very strong effective formula in combination with FrDulcinea's Gamme Metisse products. The best for smooth looking skin and NONE BETTER having a beautiful lavender and pumpkin spice fragrance. Shipping on time but ask FrDulcinea concerning bubble wrap. The best for smooth looking skin and NONE BETTER. She is very kind and make sure to message or email her enough information during your ordering period  before sending your package.",653,2020-07-20 15:08:02
76,98,i got a refund from the seller she said the shipment was experience so I do not receive  this product,1,i got a refund from the seller she said the shipment was experience so I do not receive  this product,266,1991-09-13 01:06:38
38,39,I order my package but never received the package and I tried to get in contact with them and they never got back to me,1,I order my package but never received the package and I tried to get in contact with them and they never got back to me. Don't waste your money she’s a scammer,958,1987-05-30 15:18:29
52,22,Iam still waiting for for the order to come which was dispatched on the 20th November from France to Sweden,1,Iam still waiting for for the order to come which was dispatched on the 20th November from France to Sweden.Unfortnunatelt it seems like something is wrong coz it's now close to 3 weeks and the packet has not arrived ..Very strange coz it takes e few days to receive a packet from France.I have asked the seller for a refund and she is saying she only does that when the packet is lost.Im about to open a case with now coz I have run out patiece.,492,1994-11-05 16:38:52
